K W K,-,B01,Grogol - Muara Angke,Term. Grogol -- DR Latumenten -- Jembatan II -- Jembatan III -- Pluit Putra Raya -- Pluit Indah -- Pluit Karang -- Pluit Karang Barat -- Term. Muara Angke,Term. Muara Angke -- Pluit Karang Barat -- Pluit Karang -- Pluit Indah -- Pluit Putra Raya -- Jembatan III -- DR Latumenten -- Term. Grogol
Bus Sedang,Metromini,B80,Kalideres - Grogol,Term. Kalideres -- pesing -- Daan Mogot -- Tubagus Angke -- Jembatan V -- Roxy -- Kiai Tapa -- Term. Grogol,Term. Grogol -- Kiai Tapa -- Roxy -- Jembatan V -- Tubagus Angke -- Daan Mogot -- pesing -- Term. Kalideres
Bus Sedang,Metromini,B82,Grogol - Kalideres,Term. Grogol -- Daan Mogot -- Pesing -- Jembatan Genit -- Kapuk -- Kamal Raya -- Term. Kalideres,Term. Kalideres -- Kamal Raya -- Kapuk -- Jembatan Genit -- Pesing -- Daan Mogot -- Term. Grogol
K W K,-,B02,Kota - Warung Gantung,Term. Kota -- TB. Angke -- Pesing -- Cengkareng -- Warung Gantung,Warung Gantung -- Cengkareng -- Pesing -- TB Angke -- Term. Angke
Mikrolet,-,M01,Term. Kampung Melayu - Senen,Term. Kampung Melayu -- Jatinegara Barat -- Matraman Raya -- Salemba Raya -- Kramat Raya -- Naik Fly Over Senen -- Senen Raya 3 -- Senen Raya -- Dr. Wahidin -- Gunung Sahari -- Term. Senen-Kemayoran -- Bungur -- Kepu -- Garuda-Kemayoran Gempol -- Kali Baru Timur -- Cempaka Putih -- BPTR-Suprapto -- A. Gani-Tanah Tinggi 8 -- Kembang Sepatu -- Kramat Bunder -- Kramat Raya-Salemba -- Matraman Raya -- Jatinegara Timur -- Term. Kampung Melayu,Term. Kampung Melayu -- Jatinegara Timur -- Matraman Raya -- Kramat Raya-Salemba -- -- Kembang Sepatu -- A. Gani-Tanah Tinggi 8 -- BPTR-Suprapto -- Cempaka Putih -- Kali Baru Timur -- Garuda-Kemayoran Gempol -- Senen-Kepu Timur -- Kepu -- Bungur -- Term. Senen-Kemayoran -- Gunung Sahari -- Dr. Wahidin -- Senen Raya -- Senen Raya 3 -- Naik Fly Over Senen -- Kramat Raya -- Salemba Raya -- Matraman Raya -- Jatinegara Barat -- Term. Kampung Melayu
Angkutan Pengganti Bemo,-,JP05,Kramat Sentiong - Pasar Cempaka Putih,Kramat Sentiong -- Kramat Lontar -- Percetakan Negara II -- Johar Baru Utara -- Cempaka Putih Barat XVIII - XIX -- XIV - XXI -- Cempaka Putih Barat Raya III -- Pasar Cempaka Putih,Pasar Cempaka Putih III -- Cempaka Putih Barat Raya XIV - XXI -- XVIII - XIX -- Cempaka Putih Barat -- Johar Baru Utara -- Pecetakan Negara II -- Kramat Lontar -- Kramat Sentiong
Bus Sedang,Metromini,S77,Blok M - Ragunan,Term. Blok M -- Iskandarsyah -- W. Mongonsidi -- Kapten Tendean -- Jl. Bangka II -- Bangka Raya -- Ampera Raya -- Warung Buncit -- Raya Ragunan -- Term. Ragunan,Term. Ragunan -- Raya Ragunan -- Warung Buncit -- Ampera Raya -- Bangka Raya -- Jl. Bangka II -- Kapten Tendean -- W. Mongonsidi -- Iskandarsyah -- Term. Blok M
Angkutan Pengganti Bemo,-,JP06,Kodam - Industri PP,Kodam -- Howitzer -- Serdang Baru Raya -- Kantor Camat -- Sunter Podomoro -- Sunter I -- Lampu Merah -- Kantor Polisi -- Danau Sunter Barat -- Griya Utama -- Pekan Raya Jakarta -- Rajawali SLT -- Pademngan II -- Santo Lukas -- Pademngan IV -- Gereja HKBP -- Angkasapura -- Industri PP,PP -- Industri -- Angkasapura -- Gereja HKBP -- Pademangan IV -- Santo Lukas -- Pdemngan II -- Rajawali SLT -- Pekan Raya Jakarta -- Griya Utama -- Danau Sunter Barat -- Kantor Polisi -- Lampu Merah -- Sunter I -- Sunter Podomoro -- Kantor Camat -- Serdang Baru Raya -- Howitzer -- Kodam
Bus Sedang,Metromini,S78,Blok M -- Cidodol,Term. Blok M -- Iskandarsyah -- Melawai -- Bulungan/Barito -- Kyai Maja -- Mayestik -- Gandaria III -- Keby. Lama,Keby. Lama -- Gandaria III -- Mayestik -- Kyai Maja -- Bulungan/Barito -- Melawai -- Iskandarsyah -- Term. Blok M
Bus Besar,A Perum PPD,10,Lebak Bulus - Manggarai,Term. Lebak Bulus -- Pondok Indah -- Radio Dalam -- Kramat Pela -- Panglima Polim -- Melawai -- Iskandarsyah -- Hasanudin -- W. Mongonsidi -- Gunawarman -- Senopati -- Suryo (Santa) -- Tendean -- Gatot Subroto -- Supomo -- Saharjo -- Term. Manggarai,Term. Manggarai -- Saharjo -- Supomo -- Gatot Subroto -- Tendean -- Suryo (Santa) -- Senopati -- Gunawarman -- W. Mongonsidi -- Hasanudin -- Iskandarsyah -- Melawai -- Panglima Polim -- Kramat Pela -- Radio Dalam -- Pondok Indah -- Term. Lebak Bulus
